Id Reprezentanta,Model,An,Pret,Transmisie,Nr mile,Combustibil,Taxe,Consum,Capacitate cilindrica
10, SLK,2005,5200,Automata,63000,Petrol,325,32.1,1.8
3, S Class,2017,34948,Automata,27000,Hybrid,20,61.4,2.1
11, SL CLASS,2016,49948,Automata,6200,Petrol,555,28,5.5
1, G Class,2016,61948,Automata,16000,Petrol,325,30.4,4
1, G Class,2016,73948,Automata,4000,Petrol,325,30.1,4
8, SL CLASS,2011,149948,Automata,3000,Petrol,570,21.4,6.2
7, GLE Class,2018,30948,Automata,16000,Diesel,145,47.9,2.1
5, S Class,2012,10948,Automata,107000,Petrol,265,36.7,3.5
13, G Class,2019,139948,Automata,12000,Petrol,145,21.4,4
13, GLA Class,2017,19750,Automata,15258,Diesel,30,64.2,2.1
14, A Class,2020,32980,Automata,606,Petrol,145,35.8,2
9, A Class,2020,26980,Automata,1000,Diesel,145,62.8,1.5
4, B Class,2019,23750,Automata,278,Diesel,145,55.4,2
6, GLC Class,2019,67980,Automata,5500,Petrol,145,21.7,4
14, GLA Class,2016,18980,Automata,41713,Diesel,125,56.6,2.1
8, B Class,2017,15890,Automata,24841,Diesel,150,68.9,1.5
15, C Class,2017,19890,Automata,30281,Diesel,150,60.1,2.1
4, GLE Class,2019,56800,Automata,2483,Petrol,145,29.5,3
10, B Class,2017,17513,Automata,14128,Diesel,150,68.9,2.1
13, C Class,2014,15701,Automata,20498,Diesel,20,64.2,2.1
1, C Class,2019,26601,Automata,9949,Diesel,150,64.2,2
6, C Class,2016,17672,Automata,31656,Diesel,30,64.2,2.1
1, E Class,2015,20769,Automata,21874,Diesel,165,51.4,3
4, E Class,2017,22270,Automata,13398,Diesel,165,52.3,3
1, GL Class,2015,34129,Automata,13581,Diesel,330,36.2,3
11, SL CLASS,2017,20601,Automata,16730,Diesel,150,70.6,2.1
13, CLS Class,2016,25077,Automata,13887,Diesel,165,49.6,3
2, SL CLASS,2017,21609,Automata,2780,Diesel,30,70.6,2.1
2, SL CLASS,2018,22914,Automata,8725,Petrol,145,47.9,2
1, C Class,2016,19328,Automata,25042,Diesel,30,64.2,2.1
12, C Class,2019,29546,Automata,7990,Diesel,145,54.3,2
15, GLC Class,2019,35611,Automata,26153,Diesel,145,45.6,3
5, C Class,2017,15311,Automata,31371,Diesel,20,65.7,2.1
11, A Class,2020,28128,Automata,2563,Petrol,145,47.9,1.3
5, A Class,2019,23184,Manuala,1173,Petrol,145,44.8,1.3
2, A Class,2017,15787,Automata,24092,Diesel,20,70.6,2.1
7, GLC Class,2018,30682,Automata,14517,Diesel,145,56.5,2.1
7, A Class,2019,25701,Automata,11000,Diesel,150,56.5,2
5, C Class,2020,31790,Automata,3500,Petrol,145,64.2,2
13, A Class,2019,25190,Automata,2471,Diesel,145,56.5,2
10, SLK,2014,15990,Automata,43955,Petrol,205,43.5,1.8
11, CLS Class,2018,34990,Automata,18837,Diesel,150,47.9,2.9
11, GLC Class,2019,30799,Automata,9886,Diesel,145,41.5,2.1
12, C Class,2017,19743,Automata,16509,Diesel,145,61.4,2.1
10, C Class,2019,24055,Automata,7475,Diesel,145,61.4,2
10, B Class,2019,20945,Automata,13661,Petrol,145,45.6,1.3
12, C Class,2019,28524,Automata,8263,Diesel,145,57.7,2
13, E Class,2019,24541,Automata,10279,Diesel,145,67.3,2
3, E Class,2017,20880,Automata,37000,Diesel,30,65.7,2
9, A Class,2006,2880,Automata,66000,Diesel,160,52.3,2
6, CLC Class,2010,5880,Automata,40000,Petrol,300,34,1.8
6, C Class,2015,14940,Automata,43000,Diesel,20,64.2,2.1
11, SLK,2004,4890,Automata,46000,Petrol,330,28,3.5
